item_idx,embedding_norm,degree,degree_group
649,2.0736442,1.0,low
650,1.7177218,102.0,medium
651,1.0773339,31.0,medium
652,1.1758989,6.0,low
653,1.9035258,1.0,low
654,0.6760813,19.0,medium
655,1.4465123,65.0,medium
656,2.4759192,389.0,high
657,1.0247871,18.0,medium
658,2.0719965,138.0,medium
659,0.7696406,20.0,medium
660,1.7231681,1.0,low
661,1.9215877,137.0,medium
662,1.8480626,2.0,low
663,0.7569531,10.0,medium
664,1.8162184,1.0,low
665,3.486256,816.0,high
666,2.0653462,1.0,low
667,1.5402853,51.0,medium
668,2.892329,443.0,high
669,1.4570322,32.0,medium
670,2.3691692,238.0,medium
671,1.6268272,33.0,medium
672,1.2235488,22.0,medium
673,2.9030213,601.0,high
674,1.4095105,22.0,medium
675,1.514605,8.0,low
676,1.9839776,143.0,medium
677,1.4771756,1.0,low
678,3.9190507,1197.0,high
679,1.4284903,8.0,low
680,1.2893178,13.0,medium
681,1.5052798,5.0,low
682,1.4081951,7.0,low
683,2.137141,1.0,low
684,1.3942565,3.0,low
685,2.0476768,1.0,low
686,1.5312384,46.0,medium
687,0.59340274,15.0,medium
688,0.8598833,29.0,medium
689,1.248168,32.0,medium
690,1.367128,28.0,medium
691,1.0753795,37.0,medium
692,1.5474478,55.0,medium
693,1.1644107,8.0,low
694,1.196777,5.0,low
695,0.84681624,11.0,medium
696,1.9014611,1.0,low
697,1.8506986,2.0,low
698,1.8162285,2.0,low
699,3.0198526,558.0,high
700,1.035462,12.0,medium
701,3.6371272,927.0,high
702,1.2882386,52.0,medium
703,1.1652513,25.0,medium
704,2.1004596,158.0,medium
705,1.5312897,91.0,medium
706,2.789706,418.0,high
707,2.1907804,167.0,medium
708,1.5153253,3.0,low
709,2.335883,309.0,high
710,1.7914234,1.0,low
711,1.9532064,1.0,low
712,2.0842824,1.0,low
713,2.1289663,2.0,low
714,1.613581,2.0,low
715,1.4758999,43.0,medium
716,2.0857394,159.0,medium
717,2.8454247,482.0,high
718,1.5814799,42.0,medium
719,2.214576,227.0,medium
720,1.2883528,33.0,medium
721,1.3053329,63.0,medium
722,2.1425726,196.0,medium
723,0.88061976,20.0,medium
724,1.4131175,6.0,low
725,1.4244956,19.0,medium
726,1.5714129,17.0,medium
727,2.2046342,1.0,low
728,1.1736515,5.0,low
729,1.1149566,6.0,low
