user_idx,embedding_norm,degree,degree_group
612,1.6944329,55.0,medium
613,2.0001142,33.0,medium
614,1.911548,78.0,medium
615,1.6926687,28.0,medium
616,1.4249755,16.0,low
617,1.4053078,14.0,low
618,1.4356093,13.0,low
619,1.8957471,81.0,medium
620,2.0146914,94.0,medium
621,1.8346322,39.0,medium
622,2.0507123,143.0,high
623,1.9831573,225.0,high
624,1.9325151,33.0,medium
625,1.7383429,49.0,medium
626,1.4775813,15.0,low
627,1.5026189,33.0,medium
628,2.504765,120.0,medium
629,2.2453344,98.0,medium
630,2.0752094,202.0,high
631,1.5782565,21.0,low
632,1.6702595,22.0,medium
633,2.0650532,46.0,medium
634,2.1927843,156.0,high
635,2.151423,59.0,medium
636,2.113544,243.0,high
637,2.2007315,93.0,medium
638,2.1730528,286.0,high
639,1.612695,15.0,low
640,1.855357,96.0,medium
641,1.4768071,19.0,low
642,1.5179065,15.0,low
643,1.7606118,52.0,medium
644,1.7604312,38.0,medium
645,2.336268,170.0,high
646,1.7585921,103.0,medium
647,2.0703168,116.0,medium
648,1.569085,43.0,medium
649,1.47731,23.0,medium
650,2.3619637,288.0,high
651,2.024028,37.0,medium
652,1.5340194,15.0,low
653,2.0604863,91.0,medium
654,1.9744455,108.0,medium
655,2.3494837,119.0,medium
656,1.920627,41.0,medium
657,1.6822826,25.0,medium
658,1.8163054,66.0,medium
659,1.6735395,202.0,high
660,1.929893,62.0,medium
661,1.7885824,49.0,medium
662,1.9335185,56.0,medium
663,1.8298621,119.0,medium
664,1.7269855,10.0,low
665,2.1635656,64.0,medium
666,1.977972,64.0,medium
667,1.6492299,18.0,low
668,2.201181,305.0,high
669,1.6924096,37.0,medium
670,2.1630497,115.0,medium
671,1.8294097,31.0,medium
672,2.397921,174.0,high
673,1.9139333,65.0,medium
674,1.5907692,19.0,low
675,2.342623,130.0,medium
676,1.7887712,146.0,high
677,2.006896,635.0,high
678,1.8688314,63.0,medium
679,1.4718475,17.0,low
680,1.4999381,27.0,medium
681,2.0534675,70.0,medium
682,1.6175816,14.0,low
683,1.5573434,27.0,medium
684,1.906487,60.0,medium
685,1.4458535,16.0,low
686,1.9566807,161.0,high
687,1.826109,24.0,medium
688,1.3326255,63.0,medium
689,2.0457668,168.0,high
690,1.7972429,90.0,medium
691,2.3043008,448.0,high
692,1.9728185,47.0,medium
693,1.8938636,24.0,medium
694,1.8061824,98.0,medium
695,2.366873,258.0,high
696,1.9741445,74.0,medium
697,2.0311854,149.0,high
698,1.7351768,225.0,high
699,1.1120243,21.0,low
700,1.846084,34.0,medium
701,2.1226912,233.0,high
702,1.4027596,14.0,low
703,1.2783208,24.0,medium
704,1.8777606,58.0,medium
705,2.268661,84.0,medium
706,1.7340585,33.0,medium
707,1.2951366,10.0,low
708,1.3004407,26.0,medium
709,2.488025,462.0,high
710,2.0616062,104.0,medium
711,2.1721034,133.0,medium
712,2.225646,121.0,medium
713,2.677392,341.0,high
714,1.8981405,66.0,medium
715,2.545351,325.0,high
716,1.4252777,12.0,low
717,2.144569,112.0,medium
718,1.3610384,14.0,low
719,1.855521,78.0,medium
720,2.0269787,354.0,high
721,2.0142727,38.0,medium
722,1.6298729,12.0,low
723,1.937392,98.0,medium
724,1.885754,62.0,medium
725,2.1695921,53.0,medium
726,1.8552786,138.0,medium
727,1.8028815,72.0,medium
728,2.0781555,90.0,medium
729,1.5558375,33.0,medium
730,1.8880739,390.0,high
731,1.6164817,96.0,medium
732,1.612026,89.0,medium
733,1.52618,27.0,medium
734,2.1956015,216.0,high
735,2.1413305,83.0,medium
736,2.115159,122.0,medium
737,1.3110393,16.0,low
738,2.155022,115.0,medium
739,1.4997617,27.0,medium
740,2.2738097,37.0,medium
741,1.850324,28.0,medium
742,1.8702894,70.0,medium
743,2.121435,143.0,high
744,1.0643332,7.0,low
745,2.0106635,103.0,medium
746,1.3563087,18.0,low
747,1.8353901,55.0,medium
748,1.6127329,185.0,high
749,1.8106756,48.0,medium
750,1.4451137,18.0,low
751,2.2716553,391.0,high
752,2.2767453,150.0,high
753,1.9141536,101.0,medium
754,2.085096,98.0,medium
755,1.3571483,20.0,low
756,2.2559884,164.0,high
757,1.7026044,20.0,low
758,1.9456142,53.0,medium
759,1.3912141,55.0,medium
760,1.4146621,16.0,low
761,1.7031333,26.0,medium
762,1.3738636,15.0,low
763,2.0565221,116.0,medium
764,2.1816652,218.0,high
765,1.7778509,33.0,medium
766,1.5877585,141.0,medium
767,1.3773746,41.0,medium
768,2.020897,43.0,medium
769,2.0558243,248.0,high
770,1.5913862,13.0,low
771,1.9613849,47.0,medium
772,1.4916539,28.0,medium
773,2.1927238,70.0,medium
774,1.4450885,14.0,low
775,1.7218822,65.0,medium
776,1.7928157,38.0,medium
777,2.0772054,97.0,medium
778,1.6248181,19.0,low
779,2.1877556,257.0,high
780,2.1581242,104.0,medium
781,1.1997582,8.0,low
782,1.6974623,61.0,medium
783,1.262432,20.0,low
784,1.9602305,54.0,medium
785,1.8999428,43.0,medium
786,2.2762618,74.0,medium
787,2.038736,104.0,medium
788,1.8048146,37.0,medium
789,1.5896055,16.0,low
790,2.4823716,237.0,high
791,1.6130294,38.0,medium
792,2.0048215,73.0,medium
793,1.7719712,27.0,medium
794,2.0276117,83.0,medium
795,2.1629853,132.0,medium
796,1.9034171,61.0,medium
797,1.902638,126.0,medium
798,1.0989642,22.0,medium
799,2.108344,166.0,high
800,1.9414601,174.0,high
801,2.0100346,396.0,high
802,1.6862531,29.0,medium
803,1.7576858,22.0,medium
804,1.8665423,48.0,medium
805,1.8802806,51.0,medium
806,1.3217826,21.0,low
807,2.2921972,105.0,medium
808,1.741109,67.0,medium
809,1.8986591,81.0,medium
810,1.8501532,49.0,medium
811,1.9138689,58.0,medium
812,1.8393033,31.0,medium
813,1.6790445,25.0,medium
814,1.6685739,18.0,low
815,2.1239662,122.0,medium
816,2.269631,303.0,high
817,2.1835876,109.0,medium
818,1.6201787,25.0,medium
819,2.050609,49.0,medium
820,0.79677814,5.0,low
